global_pair_index,index_G,index_H,g6_G,g6_H,n_G,n_H,gamma_t_cartesian,gamma_direct,slack,cartesian_set,direct_set,cartesian_nodes_searched,direct_nodes_searched,direct_components
3103,23,113,DUw,EQzg,5,6,7,4,3,27;3;10;17;22;5;28,25;4;1;28,273,6,1
3104,23,114,DUw,EQzo,5,6,6,4,2,11;17;15;23;28;4,29;0;5;24,33,19,1
3105,23,115,DUw,EQzw,5,6,5,4,1,11;17;5;23;29,29;5;28;4,15,36,1
3106,23,116,DUw,EQ~o,5,6,5,4,1,10;17;23;28;5,28;0;4;24,12,31,1
3107,23,117,DUw,EQ~w,5,6,5,4,1,10;17;22;5;28,28;4;29;5,22,54,1
3108,23,118,DUw,ETno,5,6,6,4,2,11;17;23;28;13;4,29;5;24;0,19,6,1
3109,23,119,DUw,ETnw,5,6,5,4,1,11;17;23;5;29,29;5;24;0,13,18,1
3110,23,120,DUw,ETzg,5,6,6,4,2,10;3;22;27;17;13,28;0;24;4,60,6,1
3111,23,121,DUw,ETzo,5,6,6,4,2,11;4;17;23;28;15,29;0;5;24,46,17,1
3112,23,122,DUw,ETzw,5,6,5,4,1,11;17;5;23;29,29;0;5;24,19,35,1
3113,23,123,DUw,ET~w,5,6,5,4,1,10;17;5;22;28,28;4;29;5,19,38,1
3114,23,124,DUw,EUZO,5,6,7,5,2,6;4;2;7;9;5;17,24;3;20;16;7,124,78,1
3115,23,125,DUw,EUZ_,5,6,7,4,3,6;8;1;3;14;26;19,25;5;1;29,166,15,1
3116,23,126,DUw,EUZo,5,6,6,4,2,28;4;11;15;23;12,25;5;29;1,181,16,1
3117,23,127,DUw,EUZw,5,6,5,4,1,11;17;23;5;29,29;5;24;23,17,52,1
3118,23,128,DUw,EUxo,5,6,7,4,3,24;11;23;20;28;17;5,26;5;29;2,349,22,1
3119,23,129,DUw,EUzW,5,6,6,4,2,6;12;14;18;25;1,24;4;28;0,73,24,1
3120,23,130,DUw,EUzo,5,6,6,4,2,11;4;23;28;15;12,29;0;24;5,77,27,1
3121,23,131,DUw,EUzw,5,6,5,4,1,11;17;23;5;29,29;0;5;24,17,44,1
3122,23,132,DUw,EU~w,5,6,5,4,1,10;17;22;5;28,28;5;29;4,26,48,1
3123,23,133,DUw,EV~w,5,6,5,4,1,9;16;21;4;27,27;4;28;3,27,54,1
3124,23,134,DUw,E]yw,5,6,6,4,2,8;3;20;27;16;4,26;0;24;2,113,29,1
3125,23,135,DUw,E]zg,5,6,5,4,1,6;13;1;24;19,24;2;0;26,6,21,1
3126,23,136,DUw,E]zo,5,6,5,4,1,6;13;19;24;1,24;2;0;26,13,29,1
3127,23,137,DUw,E]zw,5,6,5,4,1,11;17;23;5;29,29;0;5;24,27,45,1
3128,23,138,DUw,E]~o,5,6,5,4,1,24;19;6;1;12,26;0;24;2,6,33,1
3129,23,139,DUw,E]~w,5,6,5,4,1,10;17;22;5;28,28;5;29;4,50,56,1
3130,23,140,DUw,E^~w,5,6,5,4,1,8;15;20;3;26,26;3;27;2,52,69,1
3131,23,141,DUw,E~~w,5,6,5,4,1,24;6;1;13;18,25;0;24;1,56,96,1
3132,24,24,DU{,DU{,5,5,5,3,2,9;14;4;19;24,24;20;4,27,10,1
3133,24,25,DU{,DV{,5,5,5,3,2,8;14;4;18;23,23;3;24,28,10,1
3134,24,26,DU{,D]w,5,5,5,4,1,23;20;21;22;24,20;2;22;0,28,37,1
3135,24,27,DU{,D]{,5,5,5,3,2,20;16;10;1;5,24;20;4,43,12,1
3136,24,28,DU{,D^{,5,5,5,3,2,20;16;1;5;10,22;23;2,37,12,1
3137,24,29,DU{,D~{,5,5,5,3,2,20;21;22;23;24,21;20;0,43,14,1
3138,24,30,DU{,E?Bw,5,6,5,3,2,11;17;5;23;29,29;5;24,7,8,1
3139,24,31,DU{,E?bo,5,6,6,4,2,25;29;26;27;28;24,29;24;5;0,34,19,1
3140,24,32,DU{,E?bw,5,6,5,3,2,11;17;5;23;29,29;5;24,10,8,1
3141,24,33,DU{,E?ow,5,6,6,4,2,24;28;25;26;29;27,28;29;4;5,23,13,1
3142,24,34,DU{,E?qo,5,6,6,5,1,25;28;26;29;27;24,28;29;24;4;5,17,26,1
3143,24,35,DU{,E?qw,5,6,6,4,2,25;28;26;29;27;24,28;29;4;5,33,19,1
3144,24,36,DU{,E?ro,5,6,6,4,2,26;29;27;28;24;25,29;0;24;5,45,19,1
3145,24,37,DU{,E?rw,5,6,5,3,2,11;17;5;23;29,29;5;28,10,8,1
3146,24,38,DU{,E?zO,5,6,6,5,1,26;28;27;29;24;25,28;23;26;24;29,33,27,1
3147,24,39,DU{,E?zW,5,6,6,4,2,26;28;27;29;24;25,28;29;4;5,39,19,1
3148,24,40,DU{,E?zo,5,6,6,4,2,11;17;5;9;28;22,29;0;5;24,29,19,1
3149,24,41,DU{,E?zw,5,6,5,3,2,11;17;5;23;29,29;5;28,10,8,1
3150,24,42,DU{,E?~o,5,6,5,4,1,10;17;5;28;23,28;0;10;24,11,27,1
3151,24,43,DU{,E?~w,5,6,5,3,2,10;17;5;22;28,28;4;29,11,10,1
3152,24,44,DU{,ECR_,5,6,6,6,0,26;29;27;24;28;25,29;24;5;0;25;1,19,42,1
3153,24,45,DU{,ECRo,5,6,6,4,2,26;29;28;25;24;27,29;25;5;1,35,19,1
3154,24,46,DU{,ECRw,5,6,5,3,2,11;17;5;23;29,29;5;24,13,8,1
3155,24,47,DU{,ECYW,5,6,6,4,2,25;28;26;24;27;29,28;29;4;5,28,16,1
3156,24,48,DU{,ECZ?,5,6,6,6,0,26;28;27;24;25;29,28;24;29;0;25;4,8,44,1
3157,24,49,DU{,ECZG,5,6,6,5,1,26;28;27;24;25;29,28;24;29;4;0,29,27,1
3158,24,50,DU{,ECZO,5,6,6,5,1,26;28;25;24;27;29,28;25;4;29;5,12,34,1
3159,24,51,DU{,ECZW,5,6,6,4,2,26;28;24;25;27;29,28;29;4;5,43,23,1
3160,24,52,DU{,ECZ_,5,6,6,6,0,27;24;25;26;28;29,24;29;0;1;25;5,12,96,1
3161,24,53,DU{,ECZg,5,6,6,4,2,27;24;25;26;28;29,24;29;0;5,24,21,1
3162,24,54,DU{,ECZo,5,6,6,4,2,24;25;26;27;28;29,29;1;25;5,80,34,1
3163,24,55,DU{,ECZw,5,6,5,3,2,11;17;5;23;29,29;5;28,19,10,1
3164,24,56,DU{,ECfo,5,6,6,4,2,25;29;26;28;24;27,29;0;24;5,51,22,1
3165,24,57,DU{,ECfw,5,6,5,3,2,11;17;5;23;29,29;5;24,13,8,1
3166,24,58,DU{,ECpo,5,6,6,5,1,26;29;24;25;27;28,29;27;5;24;28,24,33,1
3167,24,59,DU{,ECqg,5,6,6,6,0,25;28;26;29;27;24,28;29;4;5;24;0,26,42,1
3168,24,60,DU{,ECr_,5,6,6,4,2,26;29;27;24;25;28,29;24;5;0,31,13,1
3169,24,61,DU{,ECrg,5,6,6,4,2,26;29;27;24;25;28,29;24;5;0,42,19,1
3170,24,62,DU{,ECro,5,6,6,4,2,26;29;28;25;27;24,29;0;24;5,43,19,1
3171,24,63,DU{,ECrw,5,6,5,3,2,11;17;5;23;29,29;5;24,13,8,1
3172,24,64,DU{,ECuw,5,6,6,4,2,25;28;26;29;24;27,28;29;4;5,51,19,1
3173,24,65,DU{,ECvo,5,6,6,4,2,11;17;5;8;28;22,29;0;5;24,33,22,1
3174,24,66,DU{,ECvw,5,6,5,3,2,11;17;5;23;29,29;5;28,13,8,1
3175,24,67,DU{,ECxo,5,6,6,5,1,24;25;26;27;28;29,28;24;1;5;25,21,113,1
3176,24,68,DU{,ECxw,5,6,6,4,2,10;27;4;16;22;29,28;5;29;4,56,31,1
3177,24,69,DU{,ECzW,5,6,6,4,2,26;28;25;27;24;29,28;5;29;4,62,22,1
3178,24,70,DU{,ECzg,5,6,6,4,2,27;24;25;26;28;29,24;4;28;0,72,22,1
3179,24,71,DU{,ECzo,5,6,6,4,2,11;17;4;29;22;27,29;0;24;5,62,30,1
3180,24,72,DU{,ECzw,5,6,5,3,2,11;17;5;23;29,29;5;28,19,10,1
3181,24,73,DU{,EC~o,5,6,5,4,1,10;17;5;28;23,28;0;24;4,23,35,1
3182,24,74,DU{,EC~w,5,6,5,3,2,10;17;5;22;28,28;4;29,19,10,1
3183,24,75,DU{,EEhW,5,6,6,4,2,26;28;24;25;27;29,28;29;4;5,46,16,1
3184,24,76,DU{,EEh_,5,6,6,6,0,24;25;26;27;28;29,27;28;24;1;25;26,11,310,1
3185,24,77,DU{,EEho,5,6,6,5,1,24;26;28;25;27;29,27;29;3;26;28,19,111,1
3186,24,78,DU{,EEhw,5,6,6,4,2,24;25;26;29;27;28,27;29;5;3,64,40,1
3187,24,79,DU{,EEiW,5,6,6,5,1,25;27;26;28;24;29,27;22;25;24;28,41,27,1
3188,24,80,DU{,EEio,5,6,6,5,1,25;27;26;24;28;29,27;29;3;26;0,30,33,1
3189,24,81,DU{,EEjW,5,6,6,4,2,26;28;25;24;27;29,28;29;4;5,59,23,1
3190,24,82,DU{,EEj_,5,6,6,4,2,25;26;24;27;28;29,29;0;24;5,28,19,1
3191,24,83,DU{,EEjo,5,6,6,4,2,25;26;28;24;27;29,29;0;24;5,106,35,1
3192,24,84,DU{,EEjw,5,6,5,3,2,11;17;5;23;29,29;5;24,19,10,1
3193,24,85,DU{,EElw,5,6,6,3,3,24;25;26;27;28;29,27;4;23,219,10,1
3194,24,86,DU{,EEno,5,6,6,4,2,9;26;15;3;21;29,27;5;29;3,68,34,1
3195,24,87,DU{,EEnw,5,6,5,3,2,11;17;5;23;29,29;5;27,23,10,1
3196,24,88,DU{,EEr_,5,6,6,4,2,26;29;27;28;24;25,29;0;24;5,32,13,1
3197,24,89,DU{,EEro,5,6,6,4,2,26;29;28;27;24;25,29;0;24;5,48,19,1
3198,24,90,DU{,EErw,5,6,5,3,2,11;17;5;23;29,29;5;24,14,8,1
3199,24,91,DU{,EEuw,5,6,6,4,2,26;29;25;24;27;28,29;3;27;5,76,22,1
3200,24,92,DU{,EEvo,5,6,6,4,2,11;17;5;8;28;22,29;3;27;5,40,22,1
3201,24,93,DU{,EEvw,5,6,5,3,2,11;17;5;23;29,29;5;27,14,8,1
3202,24,94,DU{,EEzO,5,6,6,4,2,26;28;24;25;27;29,28;4;24;0,68,23,1
3203,24,95,DU{,EEz_,5,6,6,4,2,26;27;24;25;28;29,28;0;24;4,36,19,1
3204,24,96,DU{,EEzg,5,6,6,4,2,10;27;17;5;8;21,28;0;23;24,73,30,1
3205,24,97,DU{,EEzo,5,6,6,4,2,11;17;4;29;22;27,29;0;24;5,88,32,1
3206,24,98,DU{,EEzw,5,6,5,3,2,11;17;5;23;29,29;5;28,24,10,1
3207,24,99,DU{,EE~w,5,6,5,3,2,10;17;5;22;28,28;4;29,24,10,1
3208,24,100,DU{,EFzW,5,6,5,4,1,9;16;4;27;22,27;5;29;3,24,37,1
3209,24,101,DU{,EFz_,5,6,6,4,2,24;19;26;1;6;14,27;0;24;3,53,25,1
3210,24,102,DU{,EFzo,5,6,6,4,2,24;19;14;26;1;6,27;0;24;3,161,40,1
3211,24,103,DU{,EFzw,5,6,5,3,2,11;17;5;23;29,29;5;27,27,12,1
3212,24,104,DU{,EF~w,5,6,5,3,2,9;16;4;21;27,27;22;28,27,12,1
3213,24,105,DU{,EQjO,5,6,6,4,2,25;26;27;24;28;29,29;24;5;0,24,21,1
3214,24,106,DU{,EQj_,5,6,6,5,1,27;25;28;29;24;26,25;29;1;0;24,18,42,1
3215,24,107,DU{,EQjg,5,6,6,4,2,27;25;24;26;28;29,25;29;1;5,30,21,1
3216,24,108,DU{,EQjo,5,6,6,4,2,25;27;28;29;24;26,29;0;24;5,121,38,1
3217,24,109,DU{,EQjw,5,6,5,3,2,11;17;5;23;29,29;5;24,19,10,1
3218,24,110,DU{,EQyw,5,6,6,4,2,10;27;4;16;22;29,28;5;29;4,65,31,1
3219,24,111,DU{,EQzO,5,6,6,4,2,26;27;24;25;28;29,24;29;0;5,28,31,1
3220,24,112,DU{,EQzW,5,6,6,4,2,26;27;24;28;25;29,28;5;29;4,202,39,1
3221,24,113,DU{,EQzg,5,6,6,4,2,27;25;18;6;14;2,25;27;28;4,77,23,1
3222,24,114,DU{,EQzo,5,6,6,4,2,11;17;5;28;23;25,29;0;19;5,73,42,1
3223,24,115,DU{,EQzw,5,6,5,3,2,11;17;5;23;29,29;5;28,20,10,1
3224,24,116,DU{,EQ~o,5,6,5,4,1,10;17;5;28;23,28;0;24;4,52,66,1
3225,24,117,DU{,EQ~w,5,6,5,3,2,10;17;5;22;28,28;4;29,22,12,1
3226,24,118,DU{,ETno,5,6,6,4,2,11;17;5;7;28;22,29;5;24;0,42,23,1
3227,24,119,DU{,ETnw,5,6,5,3,2,11;17;5;23;29,29;5;24,14,8,1
3228,24,120,DU{,ETzg,5,6,6,4,2,10;27;17;22;13;3,28;0;24;4,89,38,1
3229,24,121,DU{,ETzo,5,6,6,4,2,11;17;4;29;22;27,29;0;24;5,106,39,1
3230,24,122,DU{,ETzw,5,6,5,3,2,11;17;5;23;29,29;5;24,24,10,1
3231,24,123,DU{,ET~w,5,6,5,3,2,10;17;5;22;28,28;4;29,25,10,1
3232,24,124,DU{,EUZO,5,6,6,5,1,26;28;24;25;27;29,24;26;3;27;1,46,148,1
3233,24,125,DU{,EUZ_,5,6,6,4,2,27;28;29;24;25;26,25;29;0;2,48,43,1
3234,24,126,DU{,EUZo,5,6,6,4,2,28;24;25;29;26;27,25;29;5;1,84,42,1
3235,24,127,DU{,EUZw,5,6,5,3,2,11;17;5;23;29,29;5;24,17,12,1
3236,24,128,DU{,EUxo,5,6,6,4,2,24;19;26;13;1;7,26;29;2;5,73,52,1
3237,24,129,DU{,EUzW,5,6,6,3,3,6;12;0;25;18;28,24;4;23,147,10,1
3238,24,130,DU{,EUzo,5,6,6,4,2,25;6;18;12;0;29,29;0;24;5,130,54,1
3239,24,131,DU{,EUzw,5,6,5,3,2,11;17;5;23;29,29;5;24,26,12,1
3240,24,132,DU{,EU~w,5,6,5,3,2,10;17;5;22;28,28;23;29,32,12,1
3241,24,133,DU{,EV~w,5,6,5,3,2,9;16;4;21;27,27;3;28,32,12,1
3242,24,134,DU{,E]yw,5,6,6,4,2,25;27;18;6;0;12,26;0;24;2,184,53,1
3243,24,135,DU{,E]zg,5,6,5,4,1,6;13;1;24;19,24;2;26;0,25,43,1
3244,24,136,DU{,E]zo,5,6,5,3,2,6;13;1;24;19,24;2;23,61,12,1
3245,24,137,DU{,E]zw,5,6,5,3,2,11;17;5;23;29,29;5;24,32,12,1
3246,24,138,DU{,E]~o,5,6,5,3,2,24;19;6;1;12,26;0;22,42,14,1
3247,24,139,DU{,E]~w,5,6,5,3,2,24;19;6;1;12,28;23;29,42,14,1
3248,24,140,DU{,E^~w,5,6,5,3,2,24;19;6;1;12,26;21;27,43,14,1
3249,24,141,DU{,E~~w,5,6,5,3,2,24;19;6;1;12,25;18;24,49,16,1
3250,25,25,DV{,DV{,5,5,5,3,2,8;4;14;18;23,18;24;19,31,10,1
3251,25,26,DV{,D]w,5,5,5,4,1,18;15;21;22;19,15;17;20;16,37,46,1
3252,25,27,DV{,D]{,5,5,5,3,2,15;21;17;23;19,19;15;24,38,12,1
3253,25,28,DV{,D^{,5,5,5,3,2,15;21;17;23;19,17;23;18,40,12,1
3254,25,29,DV{,D~{,5,5,5,3,2,15;21;17;23;19,16;20;15,49,14,1
3255,25,30,DV{,E?Bw,5,6,5,3,2,11;5;17;23;29,23;29;18,7,8,1
3256,25,31,DV{,E?bo,5,6,6,4,2,19;23;20;21;28;24,23;18;29;24,32,19,1
3257,25,32,DV{,E?bw,5,6,5,3,2,11;5;17;23;29,23;29;18,10,8,1
3258,25,33,DV{,E?ow,5,6,6,4,2,18;22;19;26;29;27,22;23;28;29,19,13,1
3259,25,34,DV{,E?qo,5,6,6,5,1,19;22;20;23;21;18,22;29;19;26;23,19,31,1
3260,25,35,DV{,E?qw,5,6,6,4,2,19;22;26;29;27;18,22;23;28;29,32,20,1
3261,25,36,DV{,E?ro,5,6,6,4,2,20;23;21;28;24;19,23;24;29;18,56,21,1
3262,25,37,DV{,E?rw,5,6,5,3,2,11;5;17;23;29,23;29;22,10,8,1
3263,25,38,DV{,E?zO,5,6,6,4,2,20;22;21;23;18;19,22;29;20;27,39,9,1
3264,25,39,DV{,E?zW,5,6,6,4,2,20;22;27;29;18;19,22;23;28;29,34,20,1
3265,25,40,DV{,E?zo,5,6,6,4,2,11;5;17;9;28;22,23;24;29;28,26,22,1
3266,25,41,DV{,E?zw,5,6,5,3,2,11;5;17;23;29,23;29;22,10,8,1
3267,25,42,DV{,E?~o,5,6,5,4,1,10;5;16;22;29,22;24;28;29,21,31,1
3268,25,43,DV{,E?~w,5,6,5,3,2,10;5;17;22;28,22;28;23,11,10,1
3269,25,44,DV{,ECR_,5,6,6,6,0,20;23;27;24;28;25,23;18;29;24;19;25,17,48,1
3270,25,45,DV{,ECRo,5,6,6,4,2,20;23;28;25;18;21,23;19;29;25,36,20,1
3271,25,46,DV{,ECRw,5,6,5,3,2,11;5;17;23;29,23;29;18,14,8,1
3272,25,47,DV{,ECYW,5,6,6,4,2,19;22;20;24;27;23,22;23;28;29,35,19,1
3273,25,48,DV{,ECZ?,5,6,6,5,1,20;22;21;18;19;23,22;18;21;25;28,8,24,1
3274,25,49,DV{,ECZG,5,6,6,5,1,20;22;21;18;19;23,22;24;27;19;28,43,39,1
3275,25,50,DV{,ECZO,5,6,6,5,1,20;22;19;24;27;23,22;19;28;23;29,19,53,1
3276,25,51,DV{,ECZW,5,6,6,4,2,20;22;24;19;27;23,22;23;28;29,57,26,1
3277,25,52,DV{,ECZ_,5,6,6,5,1,21;18;25;20;22;29,18;23;24;25;28,13,59,1
3278,25,53,DV{,ECZg,5,6,6,4,2,21;18;25;20;22;29,18;23;24;29,29,24,1
3279,25,54,DV{,ECZo,5,6,6,4,2,18;25;20;21;22;29,23;25;29;19,126,36,1
3280,25,55,DV{,ECZw,5,6,5,3,2,11;5;17;23;29,23;29;22,24,10,1
3281,25,56,DV{,ECfo,5,6,6,4,2,19;23;20;28;24;21,23;18;29;24,66,25,1
3282,25,57,DV{,ECfw,5,6,5,3,2,11;5;17;23;29,23;29;18,16,8,1
3283,25,58,DV{,ECpo,5,6,6,4,2,20;23;24;19;27;22,23;28;24;20,29,14,1
3284,25,59,DV{,ECqg,5,6,6,6,0,19;22;26;29;21;18,22;23;28;29;18;24,28,47,1
3285,25,60,DV{,ECr_,5,6,6,4,2,20;23;27;24;19;22,23;18;29;24,27,13,1
3286,25,61,DV{,ECrg,5,6,6,4,2,20;23;27;24;19;22,23;18;29;24,49,20,1
3287,25,62,DV{,ECro,5,6,6,4,2,20;23;28;21;25;18,23;24;29;18,61,22,1
3288,25,63,DV{,ECrw,5,6,5,3,2,11;5;17;23;29,23;29;18,14,8,1
3289,25,64,DV{,ECuw,5,6,6,4,2,19;22;26;29;18;21,22;23;28;29,47,20,1
3290,25,65,DV{,ECvo,5,6,6,4,2,11;5;17;8;22;28,23;29;18;22,34,26,1
3291,25,66,DV{,ECvw,5,6,5,3,2,11;5;17;23;29,23;29;22,16,8,1
3292,25,67,DV{,ECxo,5,6,6,4,2,18;25;20;21;22;29,22;18;25;29,24,31,1
3293,25,68,DV{,ECxw,5,6,6,4,2,10;21;4;16;23;28,22;29;28;23,71,36,1
3294,25,69,DV{,ECzW,5,6,6,4,2,20;22;19;27;24;23,22;23;28;29,70,26,1
3295,25,70,DV{,ECzg,5,6,6,4,2,21;18;25;20;22;29,18;22;24;28,78,26,1
3296,25,71,DV{,ECzo,5,6,6,4,2,11;4;17;15;22;29,23;24;29;18,101,35,1
3297,25,72,DV{,ECzw,5,6,5,3,2,11;5;17;23;29,23;29;22,32,10,1
3298,25,73,DV{,EC~o,5,6,5,4,1,10;5;16;22;29,22;24;28;29,29,43,1
3299,25,74,DV{,EC~w,5,6,5,3,2,10;5;17;22;28,22;29;23,29,10,1
3300,25,75,DV{,EEhW,5,6,6,4,2,20;22;18;25;27;23,22;23;28;29,79,19,1
3301,25,76,DV{,EEh_,5,6,6,4,2,18;25;20;22;27;23,21;28;19;26,18,5,1
3302,25,77,DV{,EEho,5,6,6,4,2,18;26;19;21;28;23,21;29;18;26,26,24,1
3303,25,78,DV{,EEhw,5,6,6,4,2,18;25;20;22;27;23,21;23;29;27,78,42,1
3304,25,79,DV{,EEiW,5,6,6,4,2,19;21;20;22;18;23,21;28;19;26,42,9,1
3305,25,80,DV{,EEio,5,6,6,4,2,19;21;26;18;28;23,21;28;26;19,57,14,1
3306,25,81,DV{,EEjW,5,6,6,4,2,20;22;25;18;27;23,22;23;28;29,94,26,1
3307,25,82,DV{,EEj_,5,6,6,4,2,19;26;18;21;28;23,23;24;29;18,40,25,1
3308,25,83,DV{,EEjo,5,6,6,4,2,11;6;3;1;16;14,23;24;29;18,138,38,1
3309,25,84,DV{,EEjw,5,6,5,3,2,11;5;17;23;29,23;29;18,24,10,1
3310,25,85,DV{,EElw,5,6,6,3,3,18;25;20;22;27;23,21;28;5,277,12,1
3311,25,86,DV{,EEno,5,6,6,4,2,9;20;27;3;15;23,21;29;23;27,65,40,1
3312,25,87,DV{,EEnw,5,6,5,3,2,11;5;17;23;29,23;29;21,32,10,1
3313,25,88,DV{,EEr_,5,6,6,4,2,20;23;27;22;18;25,23;24;29;18,51,15,1
3314,25,89,DV{,EEro,5,6,6,4,2,20;23;28;21;24;19,23;24;29;18,64,22,1
3315,25,90,DV{,EErw,5,6,5,3,2,11;5;17;23;29,23;29;18,16,8,1
3316,25,91,DV{,EEuw,5,6,6,4,2,20;23;25;18;27;22,23;21;29;27,69,26,1
3317,25,92,DV{,EEvo,5,6,6,4,2,11;5;17;8;22;28,23;29;21;27,42,26,1
3318,25,93,DV{,EEvw,5,6,5,3,2,11;5;17;23;29,23;29;21,16,8,1
3319,25,94,DV{,EEzO,5,6,6,4,2,20;22;18;25;27;23,22;20;29;27,103,22,1
3320,25,95,DV{,EEz_,5,6,6,4,2,20;21;18;25;22;29,22;24;28;18,28,23,1
3321,25,96,DV{,EEzg,5,6,6,4,2,10;21;28;5;2;15,22;24;28;18,87,34,1
3322,25,97,DV{,EEzo,5,6,6,4,2,11;4;17;23;28;21,23;24;29;18,119,38,1
3323,25,98,DV{,EEzw,5,6,5,3,2,11;5;17;23;29,23;29;22,44,10,1
3324,25,99,DV{,EE~w,5,6,5,3,2,10;5;17;22;28,22;29;23,31,10,1
3325,25,100,DV{,EFzW,5,6,5,4,1,9;4;15;21;28,21;29;27;23,31,46,1
3326,25,101,DV{,EFz_,5,6,6,4,2,18;25;20;21;28;23,21;24;18;27,94,31,1
3327,25,102,DV{,EFzo,5,6,6,4,2,18;25;20;22;27;23,21;24;27;18,218,47,1
3328,25,103,DV{,EFzw,5,6,5,3,2,11;5;17;23;29,23;27;29,62,12,1
3329,25,104,DV{,EF~w,5,6,5,3,2,9;4;16;21;27,21;28;22,30,12,1
3330,25,105,DV{,EQjO,5,6,6,4,2,19;20;21;18;22;23,23;18;29;24,24,21,1
3331,25,106,DV{,EQj_,5,6,6,5,1,21;19;22;29;18;26,19;23;25;18;24,25,61,1
3332,25,107,DV{,EQjg,5,6,6,4,2,21;19;24;26;28;23,19;23;25;29,31,24,1
3333,25,108,DV{,EQjo,5,6,6,4,2,19;21;22;29;18;26,23;18;29;24,188,40,1
3334,25,109,DV{,EQjw,5,6,5,3,2,11;5;17;23;29,23;29;18,24,10,1
3335,25,110,DV{,EQyw,5,6,6,4,2,10;21;4;16;23;28,22;29;28;23,99,36,1
3336,25,111,DV{,EQzO,5,6,6,4,2,20;21;18;19;22;23,18;23;24;29,28,31,1
3337,25,112,DV{,EQzW,5,6,6,4,2,10;11;0;2;13;15,22;23;28;29,178,42,1
3338,25,113,DV{,EQzg,5,6,6,4,2,21;19;24;26;22;23,19;21;22;28,115,26,1
3339,25,114,DV{,EQzo,5,6,6,4,2,11;5;22;17;29;19,23;18;29;22,136,48,1
3340,25,115,DV{,EQzw,5,6,5,3,2,11;5;17;23;29,23;29;22,26,10,1
3341,25,116,DV{,EQ~o,5,6,5,4,1,10;5;22;29;16,22;18;28;23,78,74,1
3342,25,117,DV{,EQ~w,5,6,5,3,2,10;5;17;22;28,22;29;23,24,12,1
3343,25,118,DV{,ETno,5,6,6,4,2,11;5;17;7;22;28,23;29;18;24,44,26,1
3344,25,119,DV{,ETnw,5,6,5,3,2,11;5;17;23;29,23;29;18,16,8,1
3345,25,120,DV{,ETzg,5,6,6,4,2,10;21;28;3;17;13,22;18;28;24,119,42,1
3346,25,121,DV{,ETzo,5,6,6,4,2,11;4;17;22;29;27,23;18;29;24,132,46,1
3347,25,122,DV{,ETzw,5,6,5,3,2,11;5;17;23;29,23;29;18,45,10,1
3348,25,123,DV{,ET~w,5,6,5,3,2,10;5;17;22;28,22;29;23,33,10,1
3349,25,124,DV{,EUZO,5,6,6,4,2,20;22;18;25;27;23,18;20;25;27,76,32,1
3350,25,125,DV{,EUZ_,5,6,6,4,2,21;28;23;18;25;20,18;20;29;25,66,31,1
3351,25,126,DV{,EUZo,5,6,6,4,2,22;24;19;26;21;23,19;23;29;25,113,48,1
3352,25,127,DV{,EUZw,5,6,5,3,2,11;5;17;23;29,23;11;18,18,12,1
3353,25,128,DV{,EUxo,5,6,6,4,2,18;25;20;27;22;23,20;23;26;29,93,55,1
3354,25,129,DV{,EUzW,5,6,6,3,3,6;4;2;11;15;13,18;28;5,133,12,1
3355,25,130,DV{,EUzo,5,6,6,4,2,19;26;21;28;18;23,23;18;29;24,165,62,1
3356,25,131,DV{,EUzw,5,6,5,3,2,11;5;17;23;29,23;29;18,40,12,1
3357,25,132,DV{,EU~w,5,6,5,3,2,10;5;17;22;28,22;29;23,39,12,1
3358,25,133,DV{,EV~w,5,6,5,3,2,9;4;16;21;27,21;28;22,42,12,1
3359,25,134,DV{,E]yw,5,6,6,4,2,19;21;24;26;22;23,20;18;26;24,308,64,1
3360,25,135,DV{,E]zg,5,6,5,4,1,6;1;12;18;25,18;20;24;19,33,54,1
3361,25,136,DV{,E]zo,5,6,5,3,2,6;1;18;25;12,18;26;5,96,12,1
3362,25,137,DV{,E]zw,5,6,5,3,2,11;5;17;23;29,23;29;18,78,12,1
3363,25,138,DV{,E]~o,5,6,5,3,2,18;25;6;1;12,20;24;4,49,14,1
3364,25,139,DV{,E]~w,5,6,5,3,2,18;25;6;1;12,22;29;23,51,14,1
3365,25,140,DV{,E^~w,5,6,5,3,2,18;25;6;1;12,20;27;21,53,14,1
3366,25,141,DV{,E~~w,5,6,5,3,2,18;25;6;1;12,19;24;18,63,16,1
3367,26,26,D]w,D]w,5,5,5,4,1,3;0;6;7;4,0;12;10;2,6,15,1
3368,26,27,D]w,D]{,5,5,5,4,1,0;6;2;8;4,4;10;14;0,36,47,1
3369,26,28,D]w,D^{,5,5,5,4,1,0;6;2;8;4,2;13;3;8,56,60,1
3370,26,29,D]w,D~{,5,5,5,4,1,0;6;2;8;4,1;10;0;5,77,95,1
3371,26,30,D]w,E?Bw,5,6,5,4,1,23;17;29;5;11,5;12;17;23,7,18,1
3372,26,31,D]w,E?bo,5,6,7,4,3,23;4;16;11;29;5;17,5;12;0;17,32,6,1
3373,26,32,D]w,E?bw,5,6,5,4,1,23;17;29;5;11,5;17;0;11,7,22,1
3374,26,33,D]w,E?ow,5,6,8,4,4,22;23;12;16;13;26;29;27,4;17;5;16,68,6,1
3375,26,34,D]w,E?qo,5,6,8,6,2,1;23;17;14;15;18;28;25,4;12;5;16;0;17,96,35,1
