graph6,n,m,Delta,delta,tree,regular,gamma,gamma_set,gamma_t,gamma_t_set,independent_domination,independent_domination_set,connected_domination,connected_domination_set,roman_domination,roman_twos,roman_ones,paired_domination,paired_domination_set,paired_matching,alpha,alpha_set,tau,min_maximal_matching,mu_unmatched,mu_matching,ore_slack,tx_i_mu_slack
PsCK?C@?G?o??@??_?G?@??C,17,16,5,1,1,0,6,37457,8,51993,6,37521,12,64473,11,8449,99376,8,51993,0-11;3-4;8-9;14-15,10,44398,7,5,19598,0-6;4-5;8-9;12-13;15-16,5,-1
PsCK?C@?G?_@?@??_?G?@??C,17,16,4,1,1,0,6,37457,9,52441,6,37521,13,65497,11,18689,65584,10,52443,0-1;3-4;6-7;10-11;14-15,10,87406,7,5,74894,0-6;4-5;8-9;11-12;14-15,5,-1
PsCGK?@?G?o??@??_?G?@??C,17,16,5,1,1,0,5,37409,8,52017,5,37409,12,64441,10,8737,98304,8,52017,0-11;4-5;8-9;14-15,9,43694,8,5,5326,0-11;4-5;8-9;13-14;15-16,7,0
PsCGK?@?G?_@_???_?G?@??C,17,16,5,1,1,0,6,38049,8,50739,6,42273,12,63417,10,16929,67584,8,50739,0-1;4-5;9-10;14-15,10,88750,7,5,6478,0-7;4-5;9-10;13-14;15-16,5,-1
PsCGK?@?G?_@?@??_?G?@??C,17,16,4,1,1,0,5,37409,8,52401,5,37409,13,65465,10,37409,0,8,52401,0-7;4-5;10-11;14-15,9,43694,8,5,18766,0-7;4-5;9-10;12-13;15-16,7,0
PsCGGE??G?_@?@??_?G?@??C,17,16,4,1,1,0,6,37449,8,52323,6,37457,13,65401,11,9249,98432,8,52323,0-1;5-6;10-11;14-15,10,87470,7,5,18838,0-3;5-6;9-10;12-13;15-16,5,-1
PsCGGC@_??_@?@??_?G?@??C,17,16,4,1,1,0,6,37521,8,52425,6,38033,13,65273,11,18465,65920,8,52425,0-3;6-7;10-11;14-15,9,43694,8,5,74830,0-9;4-5;7-8;11-12;14-15,5,-1
PsCGGC@?K??@?@??_?G?@??C,17,16,4,1,1,0,5,37153,9,52633,5,37153,13,65017,10,37153,0,10,52635,0-1;3-4;7-8;10-11;14-15,10,87726,7,5,19022,0-10;4-5;7-8;12-13;15-16,7,0
PsCGGC@?G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37449,8,52425,6,37457,14,65529,11,18721,65536,8,52425,0-3;6-7;10-11;14-15,9,43694,8,5,74902,0-3;5-6;8-9;11-12;14-15,5,-1
Pp_K?E??K??@_???o???@??C,17,16,8,1,1,0,8,38229,9,54613,8,38230,9,54613,10,1,109224,14,57341,0-12;2-3;4-5;6-7;8-9;10-11;14-15,9,87382,8,7,16394,0-2;4-5;6-7;8-9;10-11;12-13;15-16,1,-1
Pp_K?E??K??@_???_?G?@??C,17,16,7,1,1,0,8,38229,8,50517,8,38230,10,62805,10,16385,68264,12,51197,0-10;2-3;4-5;6-7;8-9;14-15,9,87382,8,7,4106,0-2;4-5;6-7;8-9;10-11;13-14;15-16,1,-1
Pp_K?E??K??@?@_???G?@??C,17,16,7,1,1,0,7,35157,9,52565,7,35497,10,60757,10,32769,6824,12,52733,0-8;2-3;4-5;6-7;10-11;14-15,9,46422,8,6,74762,0-2;4-5;6-7;8-9;11-12;14-15,3,-1
Pp_K?E??K??@?@??_?G?@??C,17,16,6,1,1,0,7,37205,9,52565,7,37545,11,64853,10,36865,680,12,52733,0-8;2-3;4-5;6-7;10-11;14-15,9,87382,8,6,74762,0-2;4-5;6-7;8-9;11-12;14-15,3,-1
Pp_K?E??G?o??@??o???@??C,17,16,7,1,1,0,7,37461,10,56149,7,37462,10,56149,11,1,112296,12,56189,0-6;2-3;4-5;8-9;11-12;14-15,10,93526,7,6,18698,0-2;4-5;6-7;9-10;12-13;15-16,3,-1
Pp_K?E??G?o??@??_?G?@??C,17,16,6,1,1,0,7,37461,9,52053,7,37462,11,64341,11,8193,100008,12,52221,0-11;2-3;4-5;6-7;8-9;14-15,9,44374,8,6,18698,0-2;4-5;6-7;9-10;12-13;15-16,3,-1
Pp_K?E??G?_@_???_?G?@??C,17,16,6,1,1,0,7,37973,8,50773,7,42153,11,63317,10,17409,65704,10,50813,0-6;2-3;4-5;9-10;14-15,9,87382,8,6,6410,0-2;4-5;6-7;9-10;13-14;15-16,3,-1
Pp_K?E??G?_@?@??_?G?@??C,17,16,5,1,1,0,7,37461,8,52309,7,37462,12,65365,11,9217,98472,10,52349,0-6;2-3;4-5;10-11;14-15,9,87382,8,6,18698,0-2;4-5;6-7;9-10;12-13;15-16,3,-1
Pp_K?C@_??_@_???_?G?@??C,17,16,6,1,1,0,7,38037,9,50901,7,38038,11,63189,11,16385,69032,10,50909,0-4;2-3;6-7;9-10;14-15,10,88918,7,6,4682,0-2;4-5;7-8;10-11;13-14;15-16,3,-1
Pp_K?C@_??_@?@_???G?@??C,17,16,6,1,1,0,6,34965,9,52437,6,34985,11,61141,10,34817,424,10,52445,0-4;2-3;6-7;10-11;14-15,9,43862,8,5,78410,0-2;4-5;7-8;10-11;14-15,5,-1
Pp_K?C@_??_@?@??_?G?@??C,17,16,5,1,1,0,7,37525,9,52437,7,37526,12,65237,11,18433,65960,10,52445,0-4;2-3;6-7;10-11;14-15,9,43862,8,6,4682,0-2;4-5;7-8;10-11;13-14;15-16,3,-1
Pp_K?C@?K??@?@??_?G?@??C,17,16,5,1,1,0,6,37141,9,52629,6,37161,12,64981,10,37121,40,10,52637,0-4;2-3;7-8;10-11;14-15,9,87382,8,5,75338,0-2;4-5;7-8;11-12;14-15,5,-1
Pp_K?C@?G?o??@??_?G?@??C,17,16,5,1,1,0,7,37461,8,51989,7,37462,12,64469,11,8449,99368,10,52029,0-11;2-3;4-5;8-9;14-15,9,44374,8,6,18506,0-2;4-5;7-8;9-10;12-13;15-16,3,-1
Pp_K?C@?G?_@?@??_?G?@??C,17,16,4,1,1,0,7,37461,9,52437,7,37462,13,65493,11,18689,65576,10,52445,0-4;2-3;6-7;10-11;14-15,9,87382,8,6,4682,0-2;4-5;7-8;10-11;13-14;15-16,3,-1
Pp_GK?@?K??@?@_???G?@??C,17,16,6,1,1,0,6,35109,10,52661,6,35113,11,60853,11,32769,7016,10,52661,0-2;4-5;7-8;10-11;14-15,10,46806,7,5,74906,0-2;5-6;8-9;11-12;14-15,5,-1
Pp_GK?@?K??@?@??_?G?@??C,17,16,5,1,1,0,6,37157,10,52661,6,37161,12,64949,11,36865,872,10,52661,0-2;4-5;7-8;10-11;14-15,10,87766,7,5,74906,0-2;5-6;8-9;11-12;14-15,5,-1
Pp_GK?@?G?o??@??_?G?@??C,17,16,5,1,1,0,6,37413,9,52021,6,37417,12,64437,11,8705,98408,10,52029,0-11;2-3;4-5;8-9;14-15,9,43734,8,5,19610,0-2;5-6;8-9;12-13;15-16,5,-1
Pp_GK?@?G?_@_???_?G?@??C,17,16,5,1,1,0,7,38053,8,50741,7,38054,12,63413,11,16897,67688,8,50741,0-2;4-5;9-10;14-15,10,88790,7,6,4250,0-2;5-6;8-9;10-11;13-14;15-16,3,-1
Pp_GK?@?G?_@?@??_?G?@??C,17,16,4,1,1,0,6,37413,9,52405,6,37417,13,65461,11,37377,104,10,52413,0-7;2-3;4-5;10-11;14-15,9,43734,8,5,74906,0-2;5-6;8-9;11-12;14-15,5,-1
Pp_GGE??G?_@_???_?G?@??C,17,16,5,1,1,0,6,37957,8,50789,6,42057,12,63349,10,17473,65544,8,50789,0-2;5-6;9-10;14-15,9,87382,8,5,6554,0-2;5-6;9-10;13-14;15-16,5,-1
Pp_GGE??G?_@?@??_?G?@??C,17,16,4,1,1,0,6,37445,8,52325,6,37449,13,65397,11,9281,98312,8,52325,0-2;5-6;10-11;14-15,9,87382,8,5,18842,0-2;5-6;9-10;12-13;15-16,5,-1
Pp_GGC@_??_@?@??_?G?@??C,17,16,4,1,1,0,7,37525,8,52421,7,37526,13,65269,11,18497,65800,8,52421,0-2;6-7;10-11;14-15,9,43862,8,6,4634,0-2;5-6;7-8;10-11;13-14;15-16,3,-1
Pp_GGC@?K??@?@??_?G?@??C,17,16,4,1,1,0,6,37157,9,52629,6,37161,13,65013,11,36929,776,10,52637,0-4;2-3;7-8;10-11;14-15,9,87382,8,5,74906,0-2;5-6;8-9;11-12;14-15,5,-1
Pp_GGC@?G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37445,8,52421,6,37449,14,65525,11,37441,8,8,52421,0-2;6-7;10-11;14-15,9,87382,8,5,74906,0-2;5-6;8-9;11-12;14-15,5,-1
PpE?GE??G?o??@??o???@??C,17,16,6,1,1,0,6,37449,11,56173,6,37449,11,56173,12,1,112344,12,56175,0-1;2-3;5-6;8-9;11-12;14-15,11,93622,6,6,2342,0-14;3-4;6-7;9-10;12-13;15-16,5,0
PpE?GE??G?o??@??_?G?@??C,17,16,5,1,1,0,6,37449,10,52077,6,37449,12,64365,12,8193,100056,10,52077,0-11;2-3;5-6;8-9;14-15,10,44470,7,6,4390,0-11;3-4;6-7;9-10;13-14;15-16,5,0
PpE?GE??G?_@_???_?G?@??C,17,16,5,1,1,0,6,37961,9,50797,6,42057,12,63341,11,17409,65752,10,50799,0-1;2-3;5-6;9-10;14-15,10,87478,7,5,76070,0-12;3-4;6-7;9-10;14-15,5,-1
PpE?GE??G?_@?@??_?G?@??C,17,16,4,1,1,0,6,37449,9,52333,6,37449,13,65389,12,9217,98520,10,52335,0-1;2-3;5-6;10-11;14-15,10,87478,7,6,4646,0-8;3-4;6-7;10-11;13-14;15-16,5,0
PpE?GC@_??_@?@_???G?@??C,17,16,5,1,1,0,5,34953,9,52429,5,34953,12,61165,10,34945,24,10,52431,0-1;2-3;6-7;10-11;14-15,9,43702,8,5,21286,0-13;3-4;6-7;10-11;15-16,7,0
PpE?GC@_??_@?@??_?G?@??C,17,16,4,1,1,0,6,37513,9,52429,6,38025,13,65261,11,18561,65560,10,52431,0-1;2-3;6-7;10-11;14-15,9,43702,8,5,75046,0-9;3-4;6-7;11-12;14-15,5,-1
PpE?GC@?K??@?@??_?G?@??C,17,16,4,1,1,0,6,37161,9,52621,6,37193,13,65005,11,36993,536,10,52623,0-1;2-3;7-8;10-11;14-15,10,87734,7,5,75334,0-5;3-4;7-8;11-12;14-15,5,-1
PpE?GC@?G?o??@??_?G?@??C,17,16,4,1,1,0,6,37449,9,52013,6,37449,13,64493,12,8321,99864,10,52077,0-11;2-3;5-6;8-9;14-15,9,43702,8,6,4390,0-11;3-4;6-7;9-10;13-14;15-16,5,0
PpE?GC@?G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37449,9,52429,6,37449,14,65517,12,9345,98328,10,52431,0-1;2-3;6-7;10-11;14-15,9,43702,8,6,4678,0-5;3-4;7-8;10-11;13-14;15-16,5,0
PpCK?C@?K??@?@??_?G?@??C,17,16,4,1,1,0,5,37137,9,52633,5,37137,13,64989,10,37137,0,10,52635,0-1;3-4;7-8;10-11;14-15,9,87382,8,5,19046,0-10;3-4;7-8;12-13;15-16,7,0
PpCK?C@?G?o??@??_?G?@??C,17,16,4,1,1,0,6,37457,8,51993,6,37521,13,64477,11,8465,99328,8,51993,0-11;3-4;8-9;14-15,9,44374,8,5,19622,0-6;3-4;8-9;12-13;15-16,5,-1
PpCK?C@?G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37457,9,52441,6,37521,14,65501,11,18705,65536,10,52443,0-1;3-4;6-7;10-11;14-15,9,87382,8,5,74918,0-6;3-4;8-9;11-12;14-15,5,-1
PpCGK?@?G?_@_???_?G?@??C,17,16,4,1,1,0,7,38053,8,50739,7,38054,13,63421,11,16913,67648,8,50739,0-1;4-5;9-10;14-15,10,88790,7,6,4298,0-2;4-5;8-9;10-11;13-14;15-16,3,-1
PpCGK?@?G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37413,8,52401,6,37417,14,65469,11,37393,64,8,52401,0-7;4-5;10-11;14-15,9,43734,8,5,74954,0-2;4-5;8-9;11-12;14-15,5,-1
PpCGGE??G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37449,8,52325,6,37449,14,65405,12,9233,98496,8,52325,0-2;5-6;10-11;14-15,9,87382,8,6,4646,0-8;3-4;6-7;10-11;13-14;15-16,5,0
PpCGGC@_??_@?@??_?G?@??C,17,16,3,1,1,0,6,37521,9,52429,6,38033,14,65277,11,18577,65536,10,52431,0-1;2-3;6-7;10-11;14-15,9,43862,8,5,75046,0-9;3-4;6-7;11-12;14-15,5,-1
PkE?K?@_??o??@_???K????C,17,16,8,1,1,0,8,43690,9,43691,8,43690,9,43691,10,1,87380,16,65535,0-15;1-2;3-4;5-6;7-8;9-10;11-12;13-14,9,87381,8,8,1,1-2;3-4;5-6;7-8;9-10;11-12;13-14;15-16,1,0
PkE?K?@_??o??@_???G?@??C,17,16,7,1,1,0,8,35499,9,51883,8,38229,10,60075,10,32769,5460,14,53247,0-11;1-2;3-4;5-6;7-8;9-10;14-15,9,87381,8,7,73732,0-1;3-4;5-6;7-8;9-10;11-12;14-15,1,-1
PkE?K?@_??o??@??o???@??C,17,16,7,1,1,0,7,37546,10,55979,7,37546,10,55979,11,1,111956,14,56319,0-9;1-2;3-4;5-6;7-8;11-12;14-15,9,92842,8,7,18436,0-1;3-4;5-6;7-8;9-10;12-13;15-16,3,0
PkE?K?@_??o??@??_?G?@??C,17,16,6,1,1,0,7,37546,9,51883,7,37546,11,64171,11,8193,99668,14,53247,0-11;1-2;3-4;5-6;7-8;9-10;14-15,9,87381,8,7,18436,0-1;3-4;5-6;7-8;9-10;12-13;15-16,3,0
PkE?K?@_??_@_???_?G?@??C,17,16,6,1,1,0,7,38058,9,50859,7,38058,11,63147,11,16385,68948,12,50943,0-7;1-2;3-4;5-6;9-10;14-15,9,88746,8,7,4612,0-1;3-4;5-6;7-8;10-11;13-14;15-16,3,0
PkE?K?@_??_@?@_???G?@??C,17,16,6,1,1,0,7,34987,9,52395,7,35157,11,61099,10,34817,340,12,52479,0-7;1-2;3-4;5-6;10-11;14-15,9,87381,8,6,78340,0-1;3-4;5-6;7-8;10-11;14-15,3,-1
PkE?K?@_??_@?@??_?G?@??C,17,16,5,1,1,0,7,37546,9,52395,7,37546,12,65195,11,18433,65876,12,52479,0-7;1-2;3-4;5-6;10-11;14-15,9,87381,8,7,4612,0-1;3-4;5-6;7-8;10-11;13-14;15-16,3,0
PkE?K?@?K??@?@_???G?@??C,17,16,6,1,1,0,7,35115,10,52651,7,35157,11,60843,11,32769,6996,12,52671,0-5;1-2;3-4;7-8;10-11;14-15,9,46762,8,6,74884,0-1;3-4;5-6;8-9;11-12;14-15,3,-1
PkE?K?@?K??@?@??_?G?@??C,17,16,5,1,1,0,7,37163,10,52651,7,37205,12,64939,11,36865,852,12,52671,0-5;1-2;3-4;7-8;10-11;14-15,9,87722,8,6,74884,0-1;3-4;5-6;8-9;11-12;14-15,3,-1
PkE?K?@?G?o??@??_?G?@??C,17,16,5,1,1,0,7,37419,9,52011,7,37461,12,64427,11,8705,98388,12,52095,0-11;1-2;3-4;5-6;8-9;14-15,9,87381,8,6,19588,0-1;3-4;5-6;8-9;12-13;15-16,3,-1
PkE?K?@?G?_@_???_?G?@??C,17,16,5,1,1,0,7,38058,8,50731,7,38058,12,63403,11,16897,67668,10,50751,0-5;1-2;3-4;9-10;14-15,9,88746,8,7,4228,0-1;3-4;5-6;8-9;10-11;13-14;15-16,3,0
PkE?K?@?G?_@?@??_?G?@??C,17,16,4,1,1,0,7,37419,9,52395,7,37461,13,65451,11,37377,84,12,52479,0-7;1-2;3-4;5-6;10-11;14-15,9,87381,8,6,74884,0-1;3-4;5-6;8-9;11-12;14-15,3,-1
PkE?GE??G?o??@??o???@??C,17,16,6,1,1,0,6,37450,11,56171,6,37450,11,56171,12,1,112340,12,56175,0-3;1-2;5-6;8-9;11-12;14-15,10,93610,7,6,18724,0-1;3-4;6-7;9-10;12-13;15-16,5,0
PkE?GE??G?o??@??_?G?@??C,17,16,5,1,1,0,6,37450,10,52075,6,37450,12,64363,12,8193,100052,12,52095,0-11;1-2;3-4;5-6;8-9;14-15,9,44458,8,6,18724,0-1;3-4;6-7;9-10;12-13;15-16,5,0
PkE?GE??G?_@_???_?G?@??C,17,16,5,1,1,0,7,37963,9,50795,7,38218,12,63339,11,17409,65748,10,50799,0-3;1-2;5-6;9-10;14-15,9,87466,8,6,6436,0-1;3-4;6-7;9-10;13-14;15-16,3,-1
PkE?GE??G?_@?@??_?G?@??C,17,16,4,1,1,0,6,37450,9,52331,6,37450,13,65387,12,9217,98516,10,52335,0-3;1-2;5-6;10-11;14-15,9,87466,8,6,18724,0-1;3-4;6-7;9-10;12-13;15-16,5,0
PkE?GC@_??_@?@_???G?@??C,17,16,5,1,1,0,6,34955,9,52427,6,34965,12,61163,10,34945,20,10,52431,0-3;1-2;6-7;10-11;14-15,9,87381,8,5,78628,0-1;3-4;6-7;10-11;14-15,5,-1
PkE?GC@_??_@?@??_?G?@??C,17,16,4,1,1,0,7,37515,9,52427,7,37546,13,65259,11,18561,65556,10,52431,0-3;1-2;6-7;10-11;14-15,9,87381,8,6,4900,0-1;3-4;6-7;10-11;13-14;15-16,3,-1
PkE?GC@?K??@?@??_?G?@??C,17,16,4,1,1,0,7,37163,9,52619,7,37205,13,65003,11,36993,532,10,52623,0-3;1-2;7-8;10-11;14-15,9,87722,8,6,74788,0-1;3-4;6-7;8-9;11-12;14-15,3,-1
PkE?GC@?G?o??@??_?G?@??C,17,16,4,1,1,0,6,37450,9,52011,6,37450,13,64491,12,8321,99860,12,52095,0-11;1-2;3-4;5-6;8-9;14-15,9,87381,8,6,18724,0-1;3-4;6-7;9-10;12-13;15-16,5,0
PkE?GC@?G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37450,9,52427,6,37450,14,65515,12,9345,98324,10,52431,0-3;1-2;6-7;10-11;14-15,9,87381,8,6,18724,0-1;3-4;6-7;9-10;12-13;15-16,5,0
PkCK?C@_??_@_???_?G?@??C,17,16,5,1,1,0,6,38034,10,50907,6,38034,12,63195,12,9362,98304,10,50907,0-1;3-4;6-7;9-10;14-15,10,88938,7,6,4684,0-1;4-5;7-8;10-11;13-14;15-16,5,0
PkCK?C@_??_@?@_???G?@??C,17,16,5,1,1,0,6,34963,10,52443,6,34965,12,61147,11,34817,436,10,52443,0-1;3-4;6-7;10-11;14-15,9,43882,8,5,78412,0-1;4-5;7-8;10-11;14-15,5,-1
PkCK?C@_??_@?@??_?G?@??C,17,16,4,1,1,0,6,37522,10,52443,6,37522,13,65243,12,9362,98304,10,52443,0-1;3-4;6-7;10-11;14-15,9,43882,8,6,4684,0-1;4-5;7-8;10-11;13-14;15-16,5,0
PkCK?C@?K??@?@??_?G?@??C,17,16,4,1,1,0,6,37139,10,52635,6,37141,13,64987,11,37121,52,10,52635,0-1;3-4;7-8;10-11;14-15,9,87402,8,5,75340,0-1;4-5;7-8;11-12;14-15,5,-1
PkCK?C@?G?o??@??_?G?@??C,17,16,4,1,1,0,6,37458,9,51995,6,37458,13,64475,12,8449,99380,10,51999,0-11;1-2;3-4;8-9;14-15,9,44394,8,6,18508,0-1;4-5;7-8;9-10;12-13;15-16,5,0
PkCK?C@?G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37458,10,52443,6,37458,14,65499,12,9362,98304,10,52443,0-1;3-4;6-7;10-11;14-15,9,87402,8,6,4684,0-1;4-5;7-8;10-11;13-14;15-16,5,0
PkCGK?@?G?o??@??_?G?@??C,17,16,4,1,1,0,6,37411,9,52019,6,37413,13,64443,11,8737,98308,10,52023,0-11;1-2;4-5;8-9;14-15,9,87381,8,5,19660,0-1;4-5;8-9;12-13;15-16,5,-1
PkCGK?@?G?_@_???_?G?@??C,17,16,4,1,1,0,7,38051,8,50739,7,38058,13,63419,11,16929,67588,8,50739,0-1;4-5;9-10;14-15,9,88746,8,6,4300,0-1;4-5;8-9;10-11;13-14;15-16,3,-1
PkCGK?@?G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37411,9,52403,6,37413,14,65467,11,37409,4,10,52407,0-7;1-2;4-5;10-11;14-15,9,87381,8,5,74956,0-1;4-5;8-9;11-12;14-15,5,-1
PkCGGE??G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37450,8,52323,6,37450,14,65403,12,9249,98436,8,52323,0-1;5-6;10-11;14-15,9,87466,8,6,18700,0-1;4-5;6-7;9-10;12-13;15-16,5,0
PkCGGC@_??_@?@??_?G?@??C,17,16,3,1,1,0,6,37522,9,52427,6,37522,14,65275,12,9362,98304,10,52431,0-3;1-2;6-7;10-11;14-15,9,87381,8,6,4684,0-1;4-5;7-8;10-11;13-14;15-16,5,0
PkCGGC@?K??@?@??_?G?@??C,17,16,3,1,1,0,6,37155,10,52635,6,37157,14,65019,11,37153,4,10,52635,0-1;3-4;7-8;10-11;14-15,9,87722,8,5,75340,0-1;4-5;7-8;11-12;14-15,5,-1
Ph_GK?@?K??@?@_???G?@??C,17,16,5,1,1,0,6,35109,10,52662,6,35109,12,60855,12,10532,98304,10,52662,1-2;4-5;7-8;10-11;14-15,10,46810,7,6,4681,1-2;4-5;7-8;10-11;13-14;15-16,5,0
Ph_GK?@?K??@?@??_?G?@??C,17,16,4,1,1,0,6,37157,10,52662,6,37157,13,64951,12,9508,98304,10,52662,1-2;4-5;7-8;10-11;14-15,10,87770,7,6,4681,1-2;4-5;7-8;10-11;13-14;15-16,5,0
Ph_GK?@?G?o??@??_?G?@??C,17,16,4,1,1,0,6,37413,10,52023,6,37413,13,64439,12,8705,98412,10,52023,0-11;1-2;4-5;8-9;14-15,9,43738,8,6,5266,0-11;2-3;5-6;8-9;13-14;15-16,5,0
Ph_GK?@?G?_@_???_?G?@??C,17,16,4,1,1,0,6,38052,9,50743,6,38052,13,63415,12,9380,98304,10,50751,0-1;2-3;4-5;9-10;14-15,10,88794,7,6,6418,0-7;2-3;5-6;9-10;13-14;15-16,5,0
Ph_GK?@?G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37413,10,52407,6,37413,14,65463,12,9380,98304,10,52407,0-7;1-2;4-5;10-11;14-15,9,43738,8,6,4681,1-2;4-5;7-8;10-11;13-14;15-16,5,0
Ph_GGE??G?_@_???_?G?@??C,17,16,4,1,1,0,6,37957,9,50791,6,42053,13,63351,11,17473,65548,10,50799,0-1;2-3;5-6;9-10;14-15,9,87386,8,5,76178,0-12;2-3;5-6;9-10;14-15,5,-1
Ph_GGE??G?_@?@??_?G?@??C,17,16,3,1,1,0,6,37445,9,52327,6,37445,14,65399,12,9281,98316,10,52335,0-1;2-3;5-6;10-11;14-15,9,87386,8,6,4754,0-8;2-3;5-6;10-11;13-14;15-16,5,0
Ph_GGC@_??_@?@??_?G?@??C,17,16,3,1,1,0,6,37524,9,52423,6,37524,14,65271,12,9364,98304,10,52431,0-1;2-3;6-7;10-11;14-15,9,43866,8,6,4898,0-4;2-3;6-7;10-11;13-14;15-16,5,0
Ph_GGC@?K??@?@??_?G?@??C,17,16,3,1,1,0,6,37157,10,52631,6,37157,14,65015,12,9508,98304,10,52631,0-4;1-2;7-8;10-11;14-15,9,87386,8,6,4681,1-2;4-5;7-8;10-11;13-14;15-16,5,0
PhE?GC@_??_@?@_???G?@??C,17,16,4,1,1,0,5,34953,9,52430,5,34953,13,61167,10,34953,0,10,52431,0-1;2-3;6-7;10-11;14-15,9,87381,8,5,21298,0-13;2-3;6-7;10-11;15-16,7,0
PhE?GC@_??_@?@??_?G?@??C,17,16,3,1,1,0,6,37513,9,52430,6,38025,14,65263,11,18569,65536,10,52431,0-1;2-3;6-7;10-11;14-15,9,87381,8,5,75058,0-9;2-3;6-7;11-12;14-15,5,-1
PhE?GC@?K??@?@??_?G?@??C,17,16,3,1,1,0,6,37161,9,52621,6,37193,14,65007,11,37001,512,10,52623,0-1;2-3;7-8;10-11;14-15,9,87722,8,5,75346,0-5;2-3;7-8;11-12;14-15,5,-1
PhE?GC@?G?o??@??_?G?@??C,17,16,3,1,1,0,6,37449,9,52013,6,37449,14,64495,12,8329,99840,10,52077,0-11;2-3;5-6;8-9;14-15,9,87381,8,6,4402,0-11;2-3;6-7;9-10;13-14;15-16,5,0
PhCK?C@?G?o??@??_?G?@??C,17,16,3,1,1,0,6,37458,8,51993,6,37458,14,64479,12,8457,99360,8,51993,0-11;3-4;8-9;14-15,9,44394,8,6,18532,0-1;3-4;7-8;9-10;12-13;15-16,5,0
QsaCCA?_C?O?_?_?O?C??_?A???,18,17,17,1,1,0,1,1,2,3,1,1,1,1,2,1,0,2,3,0-1,17,262142,1,1,131070,0-17,16,0
QsaCCA?_C?O?_?_?O?C??_????G,18,17,16,1,1,0,2,65537,2,65537,2,131073,2,65537,3,1,131072,2,65537,0-16,16,131070,2,1,196606,0-16,14,-1
QsaCCA?_C?O?_?_?O?C????C??G,18,17,15,1,1,0,2,65537,3,98305,2,65537,3,98305,4,1,196608,4,98307,0-1;15-16,16,196606,2,2,32766,0-15;16-17,14,0
QsaCCA?_C?O?_?_?O???@_????G,18,17,15,1,1,0,3,81921,3,81921,3,163841,3,81921,4,1,163840,4,114689,0-16;14-15,15,98302,3,2,49150,0-14;16-17,12,-1
QsaCCA?_C?O?_?_?O???@??C??G,18,17,14,1,1,0,2,65537,4,98307,2,65537,4,114689,4,65537,0,4,98307,0-1;15-16,15,98302,3,2,49150,0-14;16-17,14,0
QsaCCA?_C?O?_?_???K????C??G,18,17,14,1,1,0,3,73729,4,106497,3,81921,4,106497,5,1,212992,4,106497,0-13;15-16,15,180222,3,2,57342,0-13;16-17,12,-1
QsaCCA?_C?O?_?_???G?@??C??G,18,17,13,1,1,0,3,73729,4,98307,3,81921,5,122881,5,32769,131072,4,98307,0-1;15-16,15,180222,3,2,155646,0-13;15-16,12,-1
QsaCCA?_C?O?_???o???@_????G,18,17,14,1,1,0,4,86017,4,86017,4,172033,4,86017,5,1,172032,6,126977,0-16;12-13;14-15,14,90110,4,3,12286,0-12;14-15;16-17,10,-1
QsaCCA?_C?O?_???o???@??C??G,18,17,13,1,1,0,3,69633,4,102401,3,73729,5,118785,5,65537,8192,4,102401,0-12;15-16,14,90110,4,2,159742,0-12;15-16,12,-1
QsaCCA?_C?O?_???_?K????C??G,18,17,13,1,1,0,3,73729,5,110593,3,73729,5,110593,6,1,221184,6,110595,0-1;12-13;15-16,15,188414,3,3,8190,0-15;13-14;16-17,12,0
QsaCCA?_C?O?_???_?G?@??C??G,18,17,12,1,1,0,3,73729,4,102401,3,73729,6,126977,6,16385,196608,4,102401,0-12;15-16,14,90110,4,3,12286,0-12;14-15;16-17,12,0
QsaCCA?_C?O??@_???K????C??G,18,17,13,1,1,0,4,75777,5,108545,4,86017,5,108545,6,1,217088,6,112641,0-13;11-12;15-16,14,176126,4,3,38910,0-11;13-14;16-17,10,-1
QsaCCA?_C?O??@_???G?@??C??G,18,17,12,1,1,0,4,75777,4,100353,4,86017,6,124929,6,32769,135168,4,100353,0-11;15-16,14,176126,4,3,14334,0-11;14-15;16-17,10,-1
QsaCCA?_C?O??@??o???@??C??G,18,17,12,1,1,0,3,69633,5,104449,3,69633,6,120833,6,65537,12288,6,104451,0-1;11-12;15-16,14,94206,4,3,36862,0-14;12-13;16-17,12,0
QsaCCA?_C?O??@??_?G?@??C??G,18,17,11,1,1,0,3,73729,5,104449,3,73729,7,129025,6,73729,0,6,104451,0-1;11-12;15-16,14,176126,4,3,38910,0-11;13-14;16-17,12,0
QsaCCA?_C??@_???o???@_????G,18,17,13,1,1,0,5,87041,5,87041,5,174081,5,87041,6,1,174080,8,130049,0-16;10-11;12-13;14-15,13,88062,5,4,3070,0-10;12-13;14-15;16-17,8,-1
