graph6,n,m,Delta,delta,tree,regular,gamma,gamma_set,gamma_t,gamma_t_set,independent_domination,independent_domination_set,connected_domination,connected_domination_set,roman_domination,roman_twos,roman_ones,paired_domination,paired_domination_set,paired_matching,alpha,alpha_set,tau,min_maximal_matching,mu_unmatched,mu_matching,ore_slack,tx_i_mu_slack
K?q{A?_C?O?_,12,12,5,1,0,0,6,63,6,63,6,1890,6,63,8,32,1986,8,383,0-6;1-4;2-8;3-5,6,1890,6,4,3264,0-5;1-4;2-8;3-9,0,-2
K?rsA?_C?O?_,12,12,5,1,0,0,6,63,6,63,6,1008,6,63,8,32,2000,8,383,0-6;1-4;2-8;3-5,6,1008,6,4,3264,0-4;1-5;2-8;3-9,0,-2
K?r{A?_C?O?_,12,13,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,8,383,0-6;1-4;2-8;3-5,6,2016,6,4,3264,0-4;1-5;2-8;3-9,0,-2
K?zSA?_C?O?_,12,12,4,1,0,0,6,63,6,63,6,1008,6,63,8,24,2496,8,255,0-6;1-7;2-4;3-5,6,1008,6,4,3264,0-4;1-5;2-8;3-9,0,-2
K?z[A?_C?O?_,12,13,5,1,0,0,6,63,6,63,6,1764,6,63,8,16,3016,8,255,0-6;1-7;2-4;3-5,6,1764,6,4,3264,0-4;1-5;2-8;3-9,0,-2
K?zsA?_C?O?_,12,13,5,1,0,0,6,63,6,63,6,1008,6,63,8,24,2496,8,255,0-6;1-7;2-4;3-5,6,1008,6,4,3264,0-4;1-5;2-8;3-9,0,-2
K?z{A?_C?O?_,12,14,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,8,255,0-6;1-7;2-4;3-5,6,2016,6,4,3264,0-4;1-5;2-8;3-9,0,-2
K?~sA?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1008,6,63,8,16,3040,8,255,0-6;1-7;2-4;3-5,6,1008,6,4,3264,0-4;1-5;2-8;3-9,0,-2
K?~{A?_C?O?_,12,15,6,1,0,0,6,63,6,63,6,2016,6,63,7,16,3008,8,255,0-6;1-7;2-4;3-5,6,2016,6,4,3264,0-4;1-5;2-8;3-9,0,-2
KCRcA?_C?O?_,12,11,4,1,1,0,6,63,6,63,6,504,6,63,9,3,3844,6,63,0-3;1-4;2-5,6,504,6,3,4032,0-3;1-4;2-5,0,-3
